District,Year,Total Income
BHOJPUR,2025,19807.43633
BHOPAL,2014,12085.00371
BHOPAL,2015,12930.29412
BHOPAL,2016,13578.46398
BHOPAL,2017,19479.78322
BHOPAL,2018,30115.07025
BHOPAL,2019,26894.00978
BHOPAL,2020,10664.03887
BHOPAL,2021,18476.29415
BHOPAL,2022,25196.83677
BHOPAL,2023,19110.11723
BHOPAL,2024,16255.50743
BHOPAL,2025,17157.69634
BID,2014,12039.1925
BID,2015,13610.58043
BID,2016,13389.66972
BID,2017,15556.24473
BID,2018,18293.58089
BID,2019,10792.0654
BID,2020,6762.045222
BID,2021,7005.075229
BID,2022,8080.559634
BID,2023,7290.3197
BID,2024,17864.0477
BID,2025,21713.11878
BIDAR,2017,3737.765821
BIDAR,2018,18618.74969
BIDAR,2019,15052.16465
BIDAR,2020,5854.68547
BIDAR,2021,990.479688
BIDAR,2022,10524.0185
BIDAR,2023,1795.83507
BIDAR,2024,1220.5548
BIDAR,2025,-99.0
BIJAPUR,2014,8409.211149
BIJAPUR,2015,9213.98222
BIJAPUR,2016,10161.4331
BIJAPUR,2017,15028.29147
BIJAPUR,2018,15420.00147
BIJAPUR,2019,9771.543424
BIJAPUR,2020,5414.964321
BIJAPUR,2021,10274.42929
BIJAPUR,2022,13068.86877
BIJAPUR,2023,9473.31827
BIJAPUR,2024,4648.444176
BIJAPUR,2025,5782.501111
BIJNOR,2014,20920.06555
BIJNOR,2015,20394.59657
BIJNOR,2016,17652.69481
BIJNOR,2017,15819.64542
BIJNOR,2018,17535.173
BIJNOR,2019,13410.62473
BIJNOR,2020,10877.25943
BIJNOR,2021,13607.62111
BIJNOR,2022,16592.40356
BIJNOR,2023,14013.21816
BIJNOR,2024,12428.69795
BIJNOR,2025,17843.63875
BIKANER,2017,-99.0
BIKANER,2018,8461.189731
BIKANER,2019,7334.859829
BIKANER,2020,2172.338092
BIKANER,2021,3813.246937
BIKANER,2022,-99.0
BIKANER,2023,2585.466214
BIKANER,2024,16828.8606
