District,Year,ADJ_TOT_EXP
BOKARO,2017,34784932
BOKARO,2018,46059993
BOKARO,2019,41815554
BOKARO,2020,25597634
BOKARO,2021,35951318
BOKARO,2022,36393611
BOKARO,2023,14991700
BOKARO,2024,1266506
BOKARO,2025,-11088
BUDAUN,2014,4724315
BUDAUN,2015,3861874
BUDAUN,2016,4378433
BUDAUN,2017,5029873
BUDAUN,2018,5594012
BUDAUN,2019,6269307
BUDAUN,2020,5260890
BUDAUN,2021,3658089
BUDAUN,2022,4133589
BUDAUN,2023,6958503
BUDAUN,2024,11041629
BUDAUN,2025,4495334
BULANDSHAHR,2017,4730351
BULANDSHAHR,2018,11767836
BULANDSHAHR,2019,11502361
BULANDSHAHR,2020,13241881
BULANDSHAHR,2021,12298672
BULANDSHAHR,2022,9608284
BULANDSHAHR,2023,10228646
BULANDSHAHR,2024,18220663
BULANDSHAHR,2025,5230785
BULDANA,2014,14140014
BULDANA,2015,12803413
BULDANA,2016,35642068
BULDANA,2017,73513772
BULDANA,2018,98568495
BULDANA,2019,93142673
BULDANA,2020,59441328
BULDANA,2021,96493622
BULDANA,2022,72898611
BULDANA,2023,67477162
BULDANA,2024,68876295
BULDANA,2025,23284226
BUNDI,2014,45509084
BUNDI,2015,46981061
BUNDI,2016,51904700
BUNDI,2017,73590259
BUNDI,2018,94365380
BUNDI,2019,87474448
BUNDI,2020,64664495
BUNDI,2021,80595430
BUNDI,2022,70751934
BUNDI,2023,100640895
BUNDI,2024,77150266
BUNDI,2025,30470509
BURHANPUR,2014,23171820
BURHANPUR,2015,21798283
BURHANPUR,2016,25040591
BURHANPUR,2017,36031338
BURHANPUR,2018,49098240
BURHANPUR,2019,46295849
BURHANPUR,2020,42193351
BURHANPUR,2021,56601865
BURHANPUR,2022,54661347
BURHANPUR,2023,31575053
BURHANPUR,2024,53802689
BURHANPUR,2025,9048033
BUXAR,2014,1309530
BUXAR,2015,1419831
BUXAR,2016,813462
BUXAR,2017,1703498
BUXAR,2018,5228752
BUXAR,2019,3485560
BUXAR,2020,3611450
BUXAR,2021,4337236
BUXAR,2022,1734970
BUXAR,2023,1020257
BUXAR,2024,1372475
BUXAR,2025,298027
CACHAR,2014,33392380
CACHAR,2015,31015884
CACHAR,2016,34736351
CACHAR,2017,38350802
CACHAR,2018,37437469
CACHAR,2019,35770310
CACHAR,2020,28753441
CACHAR,2021,42524248
CACHAR,2022,58490832
CACHAR,2023,20475970
CACHAR,2024,29106191
CACHAR,2025,8286291
CHAMARAJANAGAR,2015,1520102
