District,Year,asset_index_0_1
EAST SIKKIM,2022,0.261486965
EAST SIKKIM,2023,0.358379713
EAST SIKKIM,2024,0.363686236
EAST SIKKIM,2025,0.389782265
SOUTH SIKKIM,2018,0.153627504
SOUTH SIKKIM,2019,0.163257371
SOUTH SIKKIM,2020,0.165953185
SOUTH SIKKIM,2021,0.148029012
SOUTH SIKKIM,2022,0.167966371
SOUTH SIKKIM,2023,0.205173695
SOUTH SIKKIM,2024,0.290948009
SOUTH SIKKIM,2025,0.321028888
WEST SIKKIM,2019,0.132755779
WEST SIKKIM,2020,0.160184398
WEST SIKKIM,2021,0.150998258
WEST SIKKIM,2022,0.177568465
WEST SIKKIM,2023,0.250366894
WEST SIKKIM,2024,0.15224371
WEST SIKKIM,2025,0.25317869
CHENNAI,2014,0.459178323
CHENNAI,2015,0.507329149
CHENNAI,2016,0.507781722
CHENNAI,2017,0.512194637
CHENNAI,2018,0.553506386
CHENNAI,2019,0.570702079
CHENNAI,2020,0.520792706
CHENNAI,2021,0.508312179
CHENNAI,2022,0.439106564
CHENNAI,2023,0.39119052
CHENNAI,2024,0.47351079
CHENNAI,2025,0.511435459
COIMBATORE,2014,0.292395674
COIMBATORE,2015,0.310907994
COIMBATORE,2016,0.319470831
COIMBATORE,2017,0.329513142
COIMBATORE,2018,0.353236569
COIMBATORE,2019,0.369341292
COIMBATORE,2020,0.286048301
COIMBATORE,2021,0.328430601
COIMBATORE,2022,0.353191328
COIMBATORE,2023,0.363129002
COIMBATORE,2024,0.405339274
COIMBATORE,2025,0.43741905
CUDDALORE,2014,0.270923362
CUDDALORE,2015,0.301637663
CUDDALORE,2016,0.305464076
CUDDALORE,2017,0.308683754
CUDDALORE,2018,0.339012756
CUDDALORE,2019,0.375309201
CUDDALORE,2020,0.338211456
CUDDALORE,2021,0.347563088
CUDDALORE,2022,0.353661204
CUDDALORE,2023,0.368938889
CUDDALORE,2024,0.404244376
CUDDALORE,2025,0.403728999
DHARMAPURI,2014,0.257643628
DHARMAPURI,2015,0.28460041
DHARMAPURI,2016,0.277002406
DHARMAPURI,2017,0.287569451
DHARMAPURI,2018,0.338532731
DHARMAPURI,2019,0.39180691
DHARMAPURI,2020,0.351641091
DHARMAPURI,2021,0.3572734
DHARMAPURI,2022,0.291370041
DHARMAPURI,2023,0.330812125
DHARMAPURI,2024,0.381698683
DHARMAPURI,2025,0.401568715
DINDIGUL,2014,0.235030951
DINDIGUL,2015,0.25786486
DINDIGUL,2016,0.2677237
DINDIGUL,2017,0.286282451
DINDIGUL,2018,0.352595716
DINDIGUL,2019,0.40730431
DINDIGUL,2020,0.313297583
DINDIGUL,2021,0.274708556
DINDIGUL,2022,0.272232786
DINDIGUL,2023,0.355719424
DINDIGUL,2024,0.407444872
DINDIGUL,2025,0.422983041
ERODE,2014,0.332051186
ERODE,2015,0.345715793
ERODE,2016,0.326549976
ERODE,2017,0.336055688
ERODE,2018,0.396313815
ERODE,2019,0.370274769
ERODE,2020,0.342099211
ERODE,2021,0.323326295
ERODE,2022,0.328677969
ERODE,2023,0.353801376
ERODE,2024,0.395507044
ERODE,2025,0.432876103
KANCHEEPURAM,2014,0.287332735
KANCHEEPURAM,2015,0.314960669
KANCHEEPURAM,2016,0.297940064
KANCHEEPURAM,2017,0.313486704
KANCHEEPURAM,2018,0.346236975
KANCHEEPURAM,2019,0.367120301
KANCHEEPURAM,2020,0.358750452
KANCHEEPURAM,2021,0.38065046
KANCHEEPURAM,2022,0.380320118
KANCHEEPURAM,2023,0.384545121
KANCHEEPURAM,2024,0.368813334
KANCHEEPURAM,2025,0.407635972
KANNIYAKUMARI,2017,0.329577511
KANNIYAKUMARI,2018,0.374894464
KANNIYAKUMARI,2019,0.428717029
KANNIYAKUMARI,2020,0.338275066
KANNIYAKUMARI,2021,0.367409698
