State,District,Year,pulses_area,pulses_production,pulses_yield
Assam,Nalbari,2017-2018,2208.0,2833.0,1.28
Assam,Nalbari,2018-2019,2037.0,2444.0,1.2
Assam,Nalbari,2019-2020,1288.0,1484.0,1.15
Assam,Nalbari,2020-2021,1100.0,1430.0,1.3
Assam,Nalbari,2021-2022,1100.0,1441.0,1.31
Assam,Nalbari,2022-2023,510.0,638.0,1.25
Assam,Sivasagar,2013-2014,980.0,611.0,0.62
Assam,Sivasagar,2014-2015,565.0,475.0,0.84
Assam,Sivasagar,2015-2016,733.0,857.0,1.17
Assam,Sivasagar,2016-2017,1286.0,1179.0,0.92
Assam,Sivasagar,2017-2018,1366.0,1621.0,1.19
Assam,Sivasagar,2018-2019,1155.0,1424.0,1.23
Assam,Sivasagar,2019-2020,965.0,1445.0,1.5
Assam,Sivasagar,2020-2021,310.0,247.0,0.8
Assam,Sivasagar,2021-2022,289.0,191.0,0.66
Assam,Sivasagar,2022-2023,180.0,130.0,0.72
Assam,Sonitpur,2013-2014,3234.0,1788.0,0.55
Assam,Sonitpur,2014-2015,3053.0,2276.0,0.75
Assam,Sonitpur,2015-2016,2793.0,2262.0,0.81
Assam,Sonitpur,2016-2017,2827.0,2324.0,0.82
Assam,Sonitpur,2017-2018,2621.0,2468.0,0.94
Assam,Sonitpur,2018-2019,2449.0,2200.0,0.9
Assam,Sonitpur,2019-2020,2668.0,2297.0,0.86
Assam,Sonitpur,2020-2021,1810.0,1660.0,0.92
Assam,Sonitpur,2021-2022,1810.0,1602.0,0.89
Assam,Sonitpur,2022-2023,1880.0,1673.0,0.89
Assam,South salmara mancachar,2020-2021,60.0,53.0,0.88
Assam,South salmara mancachar,2021-2022,60.0,53.0,0.88
Assam,South salmara mancachar,2022-2023,70.0,77.0,1.1
Assam,Tinsukia,2013-2014,1564.0,1063.0,0.68
Assam,Tinsukia,2014-2015,1645.0,1661.0,1.01
Assam,Tinsukia,2015-2016,1600.0,1555.0,0.97
Assam,Tinsukia,2016-2017,1572.0,1543.0,0.98
Assam,Tinsukia,2017-2018,1606.0,1753.0,1.09
Assam,Tinsukia,2018-2019,1593.0,1780.0,1.12
Assam,Tinsukia,2019-2020,1329.0,1124.0,0.85
