State,District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2017 - 2018,"1,187.00","2,347.00",1.98,,,,,,,,,
,,2018 - 2019,"3,128.00","6,211.00",1.99,,,,,,,,,
,,2019 - 2020,"5,549.00","17,664.00",3.18,,,,,,,,,
,,2020 - 2021,"9,218.00","14,700.00",1.59,,,,,,,,,
,,2021 - 2022,"13,757.00","21,064.71",1.53,,,,,,,,,
,,2022 - 2023,"15,661.00","40,223.53",2.57,,,,,,,,,
,12. Dausa,2013 - 2014,1,5.88,5.88,,,,,,,,,
,,2014 - 2015,5,17.64,3.53,,,,,,,,,
,,2015 - 2016,8,23.52,2.94,,,,,,,,,
,,2016 - 2017,7,23,3.29,,,,,,,,,
,,2017 - 2018,6,17.64,2.94,,,,,,,,,
,,2018 - 2019,4,11,2.75,,,,,,,,,
,,2019 - 2020,2,5,2.5,,,,,,,,,
,,2020 - 2021,3,12,4,,,,,,,,,
,,2021 - 2022,5,17.65,3.53,,,,,,,,,
,,2022 - 2023,3,11.76,3.92,,,,,,,,,
,13. Dholpur,2013 - 2014,60,194.04,3.23,,,,,,,,,
,,2014 - 2015,84,264.6,3.15,,,,,,,,,
,,2015 - 2016,100,270.48,2.7,,,,,,,,,
,,2016 - 2017,87,288,3.31,,,,,,,,,
,,2017 - 2018,77,247,3.21,,,,,,,,,
,,2018 - 2019,38,123,3.24,,,,,,,,,
,,2019 - 2020,34,123,3.62,,,,,,,,,
,,2020 - 2021,27,106,3.93,,,,,,,,,
,,2022 - 2023,13,41.18,3.17,,,,,,,,,
,14. Dungarpur,2013 - 2014,"1,174.00","3,839.64",3.27,,,,,,,,,
,,2014 - 2015,899,"2,822.40",3.14,,,,,,,,,
,,2015 - 2016,680,"1,846.32",2.72,,,,,,,,,
,,2016 - 2017,617,790,1.28,,,,,,,,,
,,2017 - 2018,587,"1,900.00",3.24,,,,,,,,,
,,2018 - 2019,588,"1,911.00",3.25,,,,,,,,,
,,2019 - 2020,485,"1,776.00",3.66,,,,,,,,,
,,2020 - 2021,402,"1,594.00",3.97,,,,,,,,,
,,2021 - 2022,315,"1,035.29",3.29,,,,,,,,,
,,2022 - 2023,194,658.82,3.4,,,,,,,,,
,15. Ganganagar,2013 - 2014,"68,398.00","2,19,376.92",3.21,,,,,,,,,
,,2014 - 2015,"76,800.00","1,79,534.04",2.34,,,,,,,,,
,,2015 - 2016,"56,003.00","1,64,340.12",2.93,,,,,,,,,
,,2016 - 2017,"89,095.00","2,83,416.00",3.18,,,,,,,,,
,,2017 - 2018,"1,28,316.00","4,81,317.00",3.75,,,,,,,,,
,,2018 - 2019,"1,38,409.00","4,97,464.00",3.59,,,,,,,,,
,,2019 - 2020,"2,00,058.00","9,05,782.00",4.53,,,,,,,,,
,,2020 - 2021,"2,18,605.00","11,38,194.00",5.21,,,,,,,,,
,,2021 - 2022,"1,87,082.00","6,95,088.20",3.72,,,,,,,,,
,,2022 - 2023,"2,28,882.00","9,05,435.29",3.96,,,,,,,,,
,16. Hanumangarh,2013 - 2014,"1,25,530.00","3,91,255.20",3.12,,,,,,,,,
,,2014 - 2015,"1,63,754.00","6,06,463.20",3.7,,,,,,,,,
,,2015 - 2016,"1,48,813.00","4,03,544.40",2.71,,,,,,,,,
,,2016 - 2017,"1,60,918.00","5,44,465.00",3.38,,,,,,,,,
,,2017 - 2018,"1,87,330.00","5,84,264.00",3.12,,,,,,,,,
,,2018 - 2019,"1,80,806.00","6,55,676.00",3.63,,,,,,,,,
,,2019 - 2020,"2,15,171.00","8,90,605.00",4.14,,,,,,,,,
,,2020 - 2021,"2,30,948.00","8,89,765.00",3.85,,,,,,,,,
,,2021 - 2022,"2,06,139.00","7,52,600.00",3.65,,,,,,,,,
,,2022 - 2023,"2,20,840.00","7,11,547.06",3.22,,,,,,,,,
,17. Jaipur,2013 - 2014,72,235.2,3.27,,,,,,,,,
,,2014 - 2015,203,635.04,3.13,,,,,,,,,
,,2015 - 2016,138,376.32,2.73,,,,,,,,,
,,2016 - 2017,90,298,3.31,,,,,,,,,
,,2017 - 2018,191,617,3.23,,,,,,,,,
,,2018 - 2019,502,"1,629.00",3.25,,,,,,,,,
,,2019 - 2020,648,"2,376.00",3.67,,,,,,,,,
,,2020 - 2021,615,"2,441.00",3.97,,,,,,,,,
,,2021 - 2022,589,"1,935.29",3.29,,,,,,,,,
,,2022 - 2023,81,276.47,3.41,,,,,,,,,
,18. Jaisalmer,2013 - 2014,172,564.48,3.28,,,,,,,,,
,,2014 - 2015,278,870.24,3.13,,,,,,,,,
,,2015 - 2016,188,511.56,2.72,,,,,,,,,
,,2016 - 2017,42,139,3.31,,,,,,,,,
,,2017 - 2018,175,564,3.22,,,,,,,,,
,,2018 - 2019,199,647,3.25,,,,,,,,,
,,2019 - 2020,416,"1,523.00",3.66,,,,,,,,,
,,2020 - 2021,209,829,3.97,,,,,,,,,
,,2021 - 2022,287,941.18,3.28,,,,,,,,,
,,2022 - 2023,436,"1,488.24",3.41,,,,,,,,,
,19. Jalore,2013 - 2014,475,"1,552.32",3.27,,,,,,,,,
,,2014 - 2015,651,"2,040.36",3.13,,,,,,,,,
,,2015 - 2016,350,946.68,2.7,,,,,,,,,
,,2016 - 2017,263,871,3.31,,,,,,,,,
,,2017 - 2018,556,"1,800.00",3.24,,,,,,,,,
,,2018 - 2019,"1,008.00","3,270.00",3.24,,,,,,,,,
,,2019 - 2020,"1,256.00","4,605.00",3.67,,,,,,,,,
,,2020 - 2021,"1,366.00","4,759.00",3.48,,,,,,,,,
,,2021 - 2022,884,"3,952.94",4.47,,,,,,,,,
,,2022 - 2023,990,"4,717.65",4.77,,,,,,,,,
,20. Jhalawar,2014 - 2015,1,5.88,5.88,,,,,,,,,
,,2016 - 2017,2,7,3.5,,,,,,,,,
,,2017 - 2018,4,11.76,2.94,,,,,,,,,
,,2018 - 2019,1,5.8,5.8,,,,,,,,,
,21. Jhunjhunu,2013 - 2014,255,834.96,3.27,,,,,,,,,
,,2014 - 2015,921,"2,887.08",3.13,,,,,,,,,
,,2015 - 2016,"1,784.00","4,839.24",2.71,,,,,,,,,
,,2016 - 2017,"3,811.00","12,895.00",3.38,,,,,,,,,
,,2017 - 2018,"8,690.00","20,970.00",2.41,,,,,,,,,
,,2018 - 2019,"14,063.00","45,511.00",3.24,,,,,,,,,
,,2019 - 2020,"16,667.00","48,664.00",2.92,,,,,,,,,
,,2020 - 2021,"17,321.00","31,759.00",1.83,,,,,,,,,
,,2021 - 2022,"17,956.00","46,600.00",2.6,,,,,,,,,
,,2022 - 2023,"18,333.00","38,741.18",2.11,,,,,,,,,
,22. Jodhpur,2013 - 2014,"30,318.00","1,36,468.92",4.5,,,,,,,,,
,,2014 - 2015,"42,386.00","1,08,333.12",2.56,,,,,,,,,
,,2015 - 2016,"43,159.00","1,12,637.28",2.61,,,,,,,,,
,,2016 - 2017,"40,546.00","1,99,720.00",4.93,,,,,,,,,
,,2017 - 2018,"46,708.00","1,25,988.00",2.7,,,,,,,,,
,,2018 - 2019,"52,102.00","1,49,247.00",2.86,,,,,,,,,
,,2019 - 2020,"61,574.00","1,90,888.00",3.1,,,,,,,,,
,,2020 - 2021,"63,124.00","2,38,859.00",3.78,,,,,,,,,
,,2021 - 2022,"74,529.00","2,35,641.20",3.16,,,,,,,,,
,,2022 - 2023,"83,821.00","2,84,623.53",3.4,,,,,,,,,
,23. Karauli,2013 - 2014,3,11.76,3.92,,,,,,,,,
,,2014 - 2015,9,29.4,3.27,,,,,,,,,
,,2017 - 2018,5,17,3.4,,,,,,,,,
,,2020 - 2021,5,18,3.6,,,,,,,,,
,,2021 - 2022,5,17.65,3.53,,,,,,,,,
,24. Kota,2013 - 2014,19,64.68,3.4,,,,,,,,,
,,2014 - 2015,1,5.88,5.88,,,,,,,,,
,,2015 - 2016,4,11.76,2.94,,,,,,,,,
,,2016 - 2017,3,10,3.33,,,,,,,,,
,,2017 - 2018,4,11,2.75,,,,,,,,,
,,2018 - 2019,9,29,3.22,,,,,,,,,
,,2021 - 2022,2,5.88,2.94,,,,,,,,,
,25. Nagaur,2013 - 2014,"49,971.00","1,72,407.48",3.45,,,,,,,,,
,,2014 - 2015,"62,187.00","2,06,329.20",3.32,,,,,,,,,
,,2015 - 2016,"58,441.00","1,56,513.84",2.68,,,,,,,,,
,,2016 - 2017,"51,386.00","1,31,638.00",2.56,,,,,,,,,
,,2017 - 2018,"53,727.00","1,36,264.00",2.54,,,,,,,,,
,,2018 - 2019,"54,079.00","1,38,358.00",2.56,,,,,,,,,
,,2019 - 2020,"55,801.00","1,56,141.00",2.8,,,,,,,,,
,,2020 - 2021,"57,519.00","1,36,529.00",2.37,,,,,,,,,
,,2021 - 2022,"60,419.00","1,69,364.70",2.8,,,,,,,,,
,,2022 - 2023,"77,503.00","2,47,264.71",3.19,,,,,,,,,
,26. Pali,2013 - 2014,"8,965.00","36,185.52",4.04,,,,,,,,,
,,2014 - 2015,"13,587.00","37,132.20",2.73,,,,,,,,,
,,2015 - 2016,"12,022.00","34,827.24",2.9,,,,,,,,,
,,2016 - 2017,"10,106.00","33,371.00",3.3,,,,,,,,,
,,2017 - 2018,"14,384.00","47,047.00",3.27,,,,,,,,,
,,2018 - 2019,"17,471.00","68,894.00",3.94,,,,,,,,,
,,2019 - 2020,"16,545.00","53,164.00",3.21,,,,,,,,,
,,2020 - 2021,"18,782.00","79,712.00",4.24,,,,,,,,,
,,2021 - 2022,"13,390.00","45,423.53",3.39,,,,,,,,,
,,2022 - 2023,"12,196.00","45,247.06",3.71,,,,,,,,,
,27. Pratapgarh,2013 - 2014,818,"2,034.48",2.49,,,,,,,,,
,,2014 - 2015,783,"2,457.84",3.14,,,,,,,,,
,,2015 - 2016,660,"1,787.52",2.71,,,,,,,,,
,,2016 - 2017,811,"2,686.00",3.31,,,,,,,,,
,,2017 - 2018,964,"3,123.00",3.24,,,,,,,,,
,,2018 - 2019,815,"2,647.00",3.25,,,,,,,,,
,,2019 - 2020,915,935,1.02,,,,,,,,,
,,2020 - 2021,768,"1,541.00",2.01,,,,,,,,,
,,2021 - 2022,960,"1,935.29",2.02,,,,,,,,,
,,2022 - 2023,"1,155.00","1,005.88",0.87,,,,,,,,,
,28. Rajsamand,2013 - 2014,"6,552.00","21,438.48",3.27,,,,,,,,,
,,2014 - 2015,"5,864.00","18,275.04",3.12,,,,,,,,,
,,2015 - 2016,"4,128.00","10,707.48",2.59,,,,,,,,,
,,2016 - 2017,"3,484.00","9,143.00",2.62,,,,,,,,,
,,2017 - 2018,"4,274.00","15,229.00",3.56,,,,,,,,,
,,2018 - 2019,"4,531.00","18,647.00",4.12,,,,,,,,,
,,2019 - 2020,"4,643.00","6,788.00",1.46,,,,,,,,,
,,2020 - 2021,"4,306.00","14,588.00",3.39,,,,,,,,,
,,2021 - 2022,"3,779.00","13,041.18",3.45,,,,,,,,,
,,2022 - 2023,"3,086.00","10,182.35",3.3,,,,,,,,,
,29. Sawai madhopur,2013 - 2014,3,11.76,3.92,,,,,,,,,
,,2014 - 2015,2,5.88,2.94,,,,,,,,,
,,2015 - 2016,1,5.88,5.88,,,,,,,,,
,,2017 - 2018,3,11,3.67,,,,,,,,,
,30. Sikar,2013 - 2014,238,776.16,3.26,,,,,,,,,
,,2014 - 2015,204,640.92,3.14,,,,,,,,,
,,2015 - 2016,124,335.16,2.7,,,,,,,,,
,,2016 - 2017,34,113,3.32,,,,,,,,,
,,2017 - 2018,19,64,3.37,,,,,,,,,
,,2018 - 2019,34,111,3.26,,,,,,,,,
,,2019 - 2020,77,282,3.66,,,,,,,,,
,,2020 - 2021,63,253,4.02,,,,,,,,,
,,2021 - 2022,134,441.18,3.29,,,,,,,,,
,,2022 - 2023,66,223.53,3.39,,,,,,,,,
,31. Sirohi,2013 - 2014,"1,693.00","2,563.68",1.51,,,,,,,,,
,,2014 - 2015,"1,874.00","5,880.00",3.14,,,,,,,,,
,,2015 - 2016,"1,175.00","3,186.96",2.71,,,,,,,,,
,,2016 - 2017,"1,387.00","5,144.00",3.71,,,,,,,,,
,,2017 - 2018,"2,905.00","9,411.00",3.24,,,,,,,,,
,,2018 - 2019,"3,673.00","7,170.00",1.95,,,,,,,,,
,,2019 - 2020,"3,309.00","9,688.00",2.93,,,,,,,,,
,,2020 - 2021,"2,632.00","7,159.00",2.72,,,,,,,,,
,,2021 - 2022,"1,819.00","4,276.47",2.35,,,,,,,,,
,,2022 - 2023,"1,618.00","5,152.94",3.18,,,,,,,,,
,32. Tonk,2013 - 2014,995,"3,257.52",3.27,,,,,,,,,
,,2014 - 2015,"1,494.00","4,686.36",3.14,,,,,,,,,
,,2015 - 2016,"1,168.00","3,169.32",2.71,,,,,,,,,
,,2016 - 2017,779,"3,085.00",3.96,,,,,,,,,
,,2017 - 2018,966,"4,329.00",4.48,,,,,,,,,
,,2018 - 2019,782,"2,541.00",3.25,,,,,,,,,
,,2019 - 2020,500,"1,835.00",3.67,,,,,,,,,
,,2020 - 2021,488,"1,935.00",3.97,,,,,,,,,
,,2021 - 2022,362,"1,188.24",3.28,,,,,,,,,
,,2022 - 2023,364,"1,241.18",3.41,,,,,,,,,
,33. Udaipur,2013 - 2014,"2,636.00","7,085.40",2.69,,,,,,,,,
,,2014 - 2015,"2,539.00","7,967.40",3.14,,,,,,,,,
,,2015 - 2016,"1,476.00","4,004.28",2.71,,,,,,,,,
,,2016 - 2017,"1,184.00","2,415.00",2.04,,,,,,,,,
,,2017 - 2018,"1,229.00","2,464.00",2,,,,,,,,,
,,2018 - 2019,"1,431.00","4,647.00",3.25,,,,,,,,,
,,2019 - 2020,"1,627.00","5,964.00",3.67,,,,,,,,,
,,2020 - 2021,"2,157.00","8,565.00",3.97,,,,,,,,,
,,2021 - 2022,"2,053.00","6,741.18",3.28,,,,,,,,,
,,2022 - 2023,"2,048.00","6,982.35",3.41,,,,,,,,,
19. Tamil Nadu,1. Ariyalur,2013 - 2014,"8,815.00","29,867.00",3.39,303,727,2.4,,,,,,
,,2014 - 2015,"12,841.00","42,839.00",3.34,536,"1,829.00",3.41,,,,,,
,,2015 - 2016,"8,907.00","12,732.00",1.43,282,836,2.96,,,,,,
,,2016 - 2017,"9,774.00","13,686.00",1.4,6,10,1.67,,,,,,
,,2017 - 2018,"10,092.00",29,0,800,2,0,,,,,,
,,2018 - 2019,"5,500.00","11,848.00",2.15,"3,834.00","9,955.00",2.6,,,,,,
,,2019 - 2020,"9,164.00","17,349.00",1.89,249,625,2.51,,,,,,
,,2020 - 2021,"5,552.00","8,666.00",1.56,"1,145.00","2,768.00",2.42,,,,,,
,,2021 - 2022,"6,961.00","10,219.00",1.47,455,"1,085.00",2.38,,,,,,
,,2022 - 2023,"7,747.00","13,272.00",1.71,694,"1,243.00",1.79,,,,,,
,2. Chengalpattu,2021 - 2022,,,,21,51,2.43,,,,,,
,,2022 - 2023,23,45,1.96,,,,,,,,,
,3. Coimbatore,2013 - 2014,336,768,2.29,12,29,2.42,,,,,,
,,2014 - 2015,401,"1,240.00",3.09,38,130,3.42,,,,,,
,,2015 - 2016,407,833,2.05,63,187,2.97,,,,,,
,,2016 - 2017,379,490,1.29,87,129,1.48,,,,,,
,,2017 - 2018,378,1,0,80,,0,,,,,,
,,2018 - 2019,541,"1,174.00",2.17,171,445,2.6,,,,,,
,,2019 - 2020,376,916,2.44,85,212,2.49,,,,,,
,,2020 - 2021,319,621,1.95,47,114,2.43,,,,,,
,,2021 - 2022,297,480,1.62,49,118,2.41,,,,,,
,,2022 - 2023,477,912,1.91,86,153,1.78,,,,,,
,4. Cuddalore,2013 - 2014,"8,243.00","29,081.00",3.53,371,891,2.4,,,,,,
,,2014 - 2015,"6,298.00","24,725.00",3.93,680,"2,320.00",3.41,,,,,,
,,2015 - 2016,"6,890.00","8,146.00",1.18,320,949,2.97,,,,,,
,,2016 - 2017,"4,876.00","3,011.00",0.62,711,"1,046.00",1.47,,,,,,
,,2017 - 2018,"10,877.00",17,0,94,,0,,,,,,
,,2018 - 2019,"5,809.00","10,207.00",1.76,99,257,2.6,,,,,,
,,2019 - 2020,"5,131.00","13,129.00",2.56,654,"1,645.00",2.52,,,,,,
,,2020 - 2021,"3,405.00","3,473.00",1.02,795,"1,921.00",2.42,,,,,,
,,2021 - 2022,"3,853.00","4,789.00",1.24,982,"2,350.00",2.39,,,,,,
,,2022 - 2023,"5,056.00","6,848.00",1.35,"1,066.00","1,907.00",1.79,,,,,,
,5. Dharmapuri,2013 - 2014,"11,462.00","33,815.00",2.95,"1,024.00","2,641.00",2.58,,,,,,
,,2014 - 2015,"10,987.00","37,096.00",3.38,694,"2,648.00",3.82,,,,,,
,,2015 - 2016,"10,528.00","23,224.00",2.21,338,"1,002.00",2.96,,,,,,
,,2016 - 2017,"11,418.00","15,153.00",1.33,406,597,1.47,,,,,,
,,2017 - 2018,"13,734.00",38,0,731,2,0,,,,,,
,,2018 - 2019,"9,136.00","22,710.00",2.49,93,241,2.59,,,,,,
,,2019 - 2020,"8,002.00","24,803.00",3.1,25,63,2.52,,,,,,
,,2020 - 2021,"3,927.00","9,288.00",2.37,30,73,2.43,,,,,,
,,2021 - 2022,"4,926.00","11,105.00",2.25,378,902,2.39,,,,,,
,,2022 - 2023,"5,763.00","13,741.00",2.38,222,397,1.79,,,,,,
,6. Dindigul,2013 - 2014,639,"1,990.00",3.11,"1,457.00","2,755.00",1.89,,,,,,
,,2014 - 2015,328,"2,000.00",6.1,"4,686.00","24,260.00",5.18,,,,,,
,,2015 - 2016,151,701,4.64,"4,684.00","15,375.00",3.28,,,,,,
,,2016 - 2017,207,269,1.3,"4,857.00","5,014.00",1.03,,,,,,
,,2017 - 2018,"1,633.00",4,0,"3,502.00",13,0,,,,,,
,,2018 - 2019,870,"1,885.00",2.17,"4,405.00","14,224.00",3.23,,,,,,
,,2019 - 2020,909,"2,209.00",2.43,"7,160.00","24,727.00",3.45,,,,,,
,,2020 - 2021,"1,187.00","2,312.00",1.95,"2,757.00","9,785.00",3.55,,,,,,
,,2021 - 2022,413,667,1.62,"3,896.00","14,928.00",3.83,,,,,,
,,2022 - 2023,"1,092.00","2,081.00",1.91,"4,317.00","16,008.00",3.71,,,,,,
,7. Erode,2013 - 2014,448,"1,284.00",2.87,120,241,2.01,,,,,,
,,2014 - 2015,610,"1,914.00",3.14,485,"1,841.00",3.8,,,,,,
,,2015 - 2016,361,673,1.86,435,"1,290.00",2.97,,,,,,
,,2016 - 2017,213,277,1.3,475,699,1.47,,,,,,
,,2017 - 2018,184,,0,571,1,0,,,,,,
,,2018 - 2019,189,409,2.16,799,"2,076.00",2.6,,,,,,
,,2019 - 2020,353,860,2.44,809,"2,031.00",2.51,,,,,,
,,2020 - 2021,197,384,1.95,520,"1,255.00",2.41,,,,,,
,,2021 - 2022,227,366,1.61,917,"2,188.00",2.39,,,,,,
,,2022 - 2023,323,614,1.9,"1,258.00","2,252.00",1.79,,,,,,
,8. Kallakurichi,2020 - 2021,"4,937.00","8,051.00",1.63,84,203,2.42,,,,,,
,,2021 - 2022,"5,181.00","3,498.00",0.68,139,330,2.37,,,,,,
,,2022 - 2023,"4,976.00","7,019.00",1.41,227,406,1.79,,,,,,
,9. Kanchipuram,2013 - 2014,1,3,3,,,,,,,,,
,,2014 - 2015,7,22,3.14,,,,,,,,,
,,2015 - 2016,2,4,2,1,3,3,,,,,,
,,2016 - 2017,2,2,1,,,,,,,,,
,10. Karur,2013 - 2014,92,264,2.87,1,2,2,,,,,,
,,2014 - 2015,146,458,3.14,1,3,3,,,,,,
,,2015 - 2016,123,229,1.86,2,6,3,,,,,,
,,2016 - 2017,112,145,1.29,21,31,1.48,,,,,,
,,2017 - 2018,98,,0,188,,0,,,,,,
,,2018 - 2019,36,78,2.17,210,545,2.6,,,,,,
,,2019 - 2020,114,276,2.42,237,595,2.51,,,,,,
,,2020 - 2021,115,225,1.96,156,375,2.4,,,,,,
,,2021 - 2022,168,271,1.61,225,535,2.38,,,,,,
,,2022 - 2023,311,589,1.89,485,867,1.79,,,,,,
,11. Krishnagiri,2013 - 2014,"1,912.00","5,802.00",3.03,170,408,2.4,,,,,,
,,2014 - 2015,"4,422.00","12,961.00",2.93,211,720,3.41,,,,,,
,,2015 - 2016,"2,286.00","5,903.00",2.58,128,379,2.96,,,,,,
,,2016 - 2017,"2,871.00","4,364.00",1.52,107,158,1.48,,,,,,
,,2017 - 2018,"2,925.00",8,0,348,1,0,,,,,,
,,2018 - 2019,"1,595.00","3,910.00",2.45,86,224,2.6,,,,,,
,,2019 - 2020,"1,452.00","4,564.00",3.14,75,186,2.48,,,,,,
,,2020 - 2021,"1,247.00","4,153.00",3.33,125,303,2.42,,,,,,
,,2021 - 2022,"1,384.00",951,0.69,40,95,2.38,,,,,,
,,2022 - 2023,"1,648.00","2,252.00",1.37,60,107,1.78,,,,,,
,12. Madurai,2013 - 2014,"3,492.00","6,008.00",1.72,"2,403.00","3,853.00",1.6,,,,,,
,,2014 - 2015,"3,979.00","5,316.00",1.34,"2,389.00","4,509.00",1.89,,,,,,
,,2015 - 2016,"4,820.00","9,782.00",2.03,"3,161.00","5,783.00",1.83,,,,,,
,,2016 - 2017,"4,063.00","5,172.00",1.27,"4,899.00","5,590.00",1.14,,,,,,
,,2017 - 2018,"9,372.00",21,0,"2,759.00",4,0,,,,,,
,,2018 - 2019,"5,903.00","9,639.00",1.63,"3,370.00","7,491.00",2.22,,,,,,
,,2019 - 2020,"6,076.00","14,577.00",2.4,"4,829.00","9,557.00",1.98,,,,,,
,,2020 - 2021,"4,173.00","8,788.00",2.11,"2,323.00","5,315.00",2.29,,,,,,
,,2021 - 2022,"3,447.00","3,514.00",1.02,"5,290.00","9,486.00",1.79,,,,,,
,,2022 - 2023,"5,464.00","10,861.00",1.99,"3,868.00","9,473.00",2.45,,,,,,
,13. Mayiladuthurai,2020 - 2021,76,148,1.95,"3,379.00","11,177.00",3.31,,,,,,
,,2021 - 2022,30,49,1.63,"5,026.00","17,318.00",3.45,,,,,,
,,2022 - 2023,,,,"6,871.00","16,843.00",2.45,,,,,,
,14. Nagapattinam,2013 - 2014,,,,"2,496.00","9,850.00",3.95,,,,,,
,,2014 - 2015,,,,"2,350.00","7,130.00",3.03,,,,,,
,,2015 - 2016,,,,"2,438.00","4,690.00",1.92,,,,,,
,,2016 - 2017,4,5,1.25,"3,055.00","9,878.00",3.23,,,,,,
,,2017 - 2018,12,,0,"2,245.00",10,0,,,,,,
,,2018 - 2019,15,31,2.07,"3,105.00","12,345.00",3.98,,,,,,
,,2019 - 2020,18,44,2.44,"5,318.00","22,980.00",4.32,,,,,,
,,2020 - 2021,2,5,2.5,"1,128.00","4,698.00",4.16,,,,,,
,,2021 - 2022,119,193,1.62,"1,440.00","2,171.00",1.51,,,,,,
,,2022 - 2023,1,2,2,"2,027.00","2,304.00",1.14,,,,,,
,15. Namakkal,2013 - 2014,"1,306.00","5,637.00",4.32,602,"1,808.00",3,,,,,,
,,2014 - 2015,"1,471.00","2,639.00",1.79,894,"2,959.00",3.31,,,,,,
,,2015 - 2016,"1,365.00","2,907.00",2.13,797,"1,458.00",1.83,,,,,,
,,2016 - 2017,"1,853.00","2,395.00",1.29,642,949,1.48,,,,,,
,,2017 - 2018,"1,745.00",5,0,481,1,0,,,,,,
,,2018 - 2019,"2,107.00","4,807.00",2.28,322,836,2.6,,,,,,
,,2019 - 2020,"2,144.00","3,230.00",1.51,989,"2,484.00",2.51,,,,,,
,,2020 - 2021,"1,463.00","3,159.00",2.16,389,939,2.41,,,,,,
,,2021 - 2022,"1,969.00","3,758.00",1.91,703,"1,670.00",2.38,,,,,,
,,2022 - 2023,"2,999.00","4,532.00",1.51,"1,404.00","2,512.00",1.79,,,,,,
,16. Perambalur,2013 - 2014,"30,052.00","88,685.00",2.95,"1,035.00","2,485.00",2.4,,,,,,
,,2014 - 2015,"39,615.00","1,51,882.00",3.83,433,"1,477.00",3.41,,,,,,
,,2015 - 2016,"20,324.00","36,822.00",1.81,47,139,2.96,,,,,,
,,2016 - 2017,"20,965.00","18,791.00",0.9,200,295,1.48,,,,,,
,,2017 - 2018,"32,908.00",87,0,86,,0,,,,,,
,,2018 - 2019,"13,663.00","29,655.00",2.17,208,539,2.59,,,,,,
,,2019 - 2020,"20,565.00","48,701.00",2.37,1,3,3,,,,,,
,,2020 - 2021,"8,973.00","16,072.00",1.79,41,100,2.44,,,,,,
,,2021 - 2022,"10,118.00","14,983.00",1.48,209,499,2.39,,,,,,
,,2022 - 2023,"12,990.00","27,973.00",2.15,299,536,1.79,,,,,,
,17. Pudukkottai,2013 - 2014,10,29,2.9,1,2,2,,,,,,
,,2014 - 2015,50,157,3.14,,,,,,,,,
,,2015 - 2016,28,52,1.86,,,,,,,,,
,,2016 - 2017,33,42,1.27,12,16,1.33,,,,,,
,,2017 - 2018,10,,0,10,,0,,,,,,
,,2018 - 2019,9,20,2.22,17,46,2.71,,,,,,
,,2019 - 2020,14,36,2.57,43,109,2.53,,,,,,
,,2020 - 2021,24,47,1.96,24,59,2.46,,,,,,
,,2021 - 2022,18,30,1.67,176,420,2.39,,,,,,
,,2022 - 2023,41,78,1.9,401,722,1.8,,,,,,
,18. Ramanathapuram,2013 - 2014,55,158,2.87,"2,735.00","8,634.00",3.16,,,,,,
,,2014 - 2015,17,53,3.12,"1,982.00","3,002.00",1.51,,,,,,
,,2015 - 2016,12,22,1.83,"1,965.00","2,404.00",1.22,,,,,,
,,2016 - 2017,,,,"1,916.00",620,0.32,,,,,,
,,2017 - 2018,,,,"2,152.00",1,0,,,,,,
,,2018 - 2019,,,,"2,671.00",803,0.3,,,,,,
,,2019 - 2020,1,3,3,"4,333.00","4,244.00",0.98,,,,,,
,,2020 - 2021,9,18,2,"5,721.00","8,000.00",1.4,,,,,,
,,2021 - 2022,,,,"9,242.00","10,114.00",1.09,,,,,,
,,2022 - 2023,162,309,1.91,"9,929.00","8,160.00",0.82,,,,,,
,19. Ranipet,2020 - 2021,14,27,1.93,,,,,,,,,
,,2021 - 2022,13,21,1.62,,,,,,,,,
,,2022 - 2023,33,62,1.88,1,1,1,,,,,,
,20. Salem,2013 - 2014,"11,737.00","42,720.00",3.64,"1,266.00","3,257.00",2.57,,,,,,
,,2014 - 2015,"14,103.00","52,074.00",3.69,"1,649.00","6,405.00",3.88,,,,,,
,,2015 - 2016,"11,338.00","34,614.00",3.05,"1,129.00","3,739.00",3.31,,,,,,
,,2016 - 2017,"11,533.00","20,470.00",1.77,"1,168.00","2,993.00",2.56,,,,,,
,,2017 - 2018,"15,885.00",43,0,"1,214.00",4,0,,,,,,
,,2018 - 2019,"7,001.00","20,172.00",2.88,"2,416.00","11,605.00",4.8,,,,,,
,,2019 - 2020,"11,811.00","31,246.00",2.65,"2,203.00","8,783.00",3.99,,,,,,
,,2020 - 2021,"7,321.00","19,268.00",2.63,"1,574.00","5,876.00",3.73,,,,,,
,,2021 - 2022,"7,952.00","19,086.00",2.4,"2,510.00","8,449.00",3.37,,,,,,
,,2022 - 2023,"7,933.00","14,040.00",1.77,"2,150.00","6,601.00",3.07,,,,,,
,21. Sivaganga,2013 - 2014,116,332,2.86,559,"1,342.00",2.4,,,,,,
,,2014 - 2015,518,"1,625.00",3.14,23,78,3.39,,,,,,
,,2015 - 2016,218,407,1.87,85,252,2.96,,,,,,
,,2016 - 2017,399,515,1.29,471,694,1.47,,,,,,
,,2017 - 2018,256,1,0,434,1,0,,,,,,
,,2018 - 2019,269,582,2.16,259,672,2.59,,,,,,
,,2019 - 2020,94,232,2.47,877,"2,201.00",2.51,,,,,,
