State,District,Year,Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare),Area (Hectare),Production (Bales),Yield (Bales/Hectare)
,,2014 - 2015,,,,,,,30,45,1.5,,,
,,2015 - 2016,,,,,,,15,26,1.73,,,
,,2016 - 2017,,,,,,,29,49,1.69,,,
,,2017 - 2018,,,,,,,171,254,1.49,,,
,,2018 - 2019,,,,,,,302,449,1.49,,,
,,2019 - 2020,,,,,,,624,"1,006.00",1.61,,,
,,2020 - 2021,,,,,,,982,"1,754.00",1.79,,,
,,2021 - 2022,,,,,,,982,"1,461.00",1.49,,,
,,2022 - 2023,,,,,,,"2,375.00","1,651.00",0.7,,,
,8. Gariyaband,2019 - 2020,,,,,,,1,3,3,,,
,,2020 - 2021,,,,,,,2,6,3,,,
,,2021 - 2022,,,,,,,3,1,0.33,,,
,,2022 - 2023,,,,,,,6,3,0.5,,,
,9. Kabirdham,2013 - 2014,,,,,,,2,5,2.5,,,
,10. Khairgarh chhuikhadan gandai,2022 - 2023,,,,,,,"1,330.00",481,0.36,,,
,11. Manendragarh chirimiri bharatpur,2022 - 2023,,,,,,,3,9,3,,,
,12. Mohla manpur ambagarh chouki,2022 - 2023,,,,,,,12,4,0.33,,,
,13. Mungeli,2020 - 2021,,,,,,,73,159,2.18,,,
,,2021 - 2022,,,,,,,64,101,1.58,,,
,14. Raipur,2015 - 2016,,,,,,,7,16,2.29,,,
,,2016 - 2017,,,,,,,9,20,2.22,,,
,,2017 - 2018,,,,,,,32,64,2,,,
